unique_id,synapse_id,bouton,x_coord,y_coord,pr_total,pr_before,pr_after,unc_sum,brp_sum,unc_norm,brp_norm,ranking,genotype,nmj_id,treatment
1,1,1,209.3820248,2593.185068,0.142180095,0.087912088,0.183333333,2057771,12310777,0.457782343,0.482695895,0,'WT','PdBU_20','PdBU'
2,2,1,226.4538276,2584.051652,0.279620853,0.142857143,0.383333333,2652168,14943331,0.590014963,0.58591627,0,'WT','PdBU_20','PdBU'
3,3,1,240.5574752,2587.684415,0.037914692,0.021978022,0.05,1895967,10102545,0.421786591,0.396112853,0,'WT','PdBU_20','PdBU'
4,4,1,254.1413967,2623.894646,0.222748815,0.076923077,0.333333333,1996573,12414808,0.44416792,0.486774869,1,'WT','PdBU_20','PdBU'
5,5,1,257.3981084,2609.722416,0.037914692,0.032967033,0.041666667,1798722,9807791,0.400152967,0.384555781,1,'WT','PdBU_20','PdBU'
6,6,1,266.0720328,2576.557625,0.037914692,0.043956044,0.033333333,1235857,12104566,0.274935118,0.474610524,1,'WT','PdBU_20','PdBU'
7,7,1,278.4536303,2590.399346,0.033175355,0,0.058333333,822212,7747752,0.182913519,0.30378327,1,'WT','PdBU_20','PdBU'
8,8,1,301.3679938,2535.139898,0.341232227,0.175824176,0.466666667,2244770,14329098,0.499383104,0.561832676,0,'WT','PdBU_20','PdBU'
9,9,1,313.5980084,2551.348038,0.44549763,0.340659341,0.525,2257263,15352770,0.502162361,0.601970051,1,'WT','PdBU_20','PdBU'
10,10,1,319.8071554,1671.128919,0.146919431,0.120879121,0.166666667,1198540,11787296,0.266633386,0.462170617,0,'WT','PdBU_20','PdBU'
11,11,1,342.1001316,2497.757145,0.260663507,0.175824176,0.325,1561365,14149839,0.347349305,0.554804072,1,'WT','PdBU_20','PdBU'
12,12,1,334.9844866,1661.955324,0.17535545,0.164835165,0.183333333,2042759,17052569,0.454442696,0.668617835,0,'WT','PdBU_20','PdBU'
13,13,1,342.7798248,1673.481881,0.279620853,0.164835165,0.366666667,1715846,11788583,0.381715945,0.462221079,0,'WT','PdBU_20','PdBU'
14,14,1,362.3492259,1760.403433,0.781990521,0.648351648,0.883333333,1709449,11276938,0.380292835,0.44215988,1,'WT','PdBU_20','PdBU'
15,15,1,369.4504987,2527.953544,0.222748815,0.131868132,0.291666667,1858987,19067962,0.41355983,0.747639811,0,'WT','PdBU_20','PdBU'
16,16,1,371.8639671,1769.566353,0.194312796,0.087912088,0.275,1917588,14180320,0.42659651,0.555999208,1,'WT','PdBU_20','PdBU'
17,17,1,378.0966969,2511.560693,0.236966825,0.120879121,0.325,2231272,17042085,0.496380269,0.668206765,0,'WT','PdBU_20','PdBU'
18,18,1,390.0934985,1680.365257,0.549763033,0.384615385,0.675,1598495,9245663,0.355609437,0.362515183,1,'WT','PdBU_20','PdBU'
19,19,1,385.3547757,2431.780375,0.322274882,0.296703297,0.341666667,1805514,11688796,0.40166395,0.458308509,1,'WT','PdBU_20','PdBU'
20,20,1,393.8527066,2493.516844,0.146919431,0.10989011,0.175,2025156,16058456,0.450526642,0.629639445,1,'WT','PdBU_20','PdBU'
21,21,1,390.1901131,2471.041847,0.180094787,0.153846154,0.2,2218187,15484545,0.493469313,0.607136846,1,'WT','PdBU_20','PdBU'
22,22,1,398.4966901,1756.299919,0.118483412,0.021978022,0.191666667,1577580,9420448,0.350956578,0.369368366,1,'WT','PdBU_20','PdBU'
23,23,1,409.1062106,1709.71889,0.27014218,0.208791209,0.316666667,2454478,15073302,0.546035827,0.591012331,1,'WT','PdBU_20','PdBU'
24,24,1,418.5320062,2395.419685,0.018957346,0,0.033333333,1847807,13168508,0.411072669,0.516326854,1,'WT','PdBU_20','PdBU'
25,25,1,416.5636077,2419.542619,0.014218009,0.021978022,0.008333333,1664479,14376019,0.370288577,0.563672412,1,'WT','PdBU_20','PdBU'
26,26,1,411.2615894,1627.358128,0.18957346,0.098901099,0.258333333,2365745,15073657,0.526295826,0.59102625,0,'WT','PdBU_20','PdBU'
